Job Class,Percentage,Link
Management,6.1,https://www.thebalancecareers.com/getting-a-first-management-job-2275109
Business and Financial operations,5,https://www.learnhowtobecome.org/finance-business-careers/
Computer and Mathematical,2.7,https://www.collegefactual.com/majors/multi-interdisciplinary-studies/math-computer-science/
Architecture and Engineering,1.7,https://www.bls.gov/ooh/architecture-and-engineering/home.htm 
"Life, Physical and Social Science",0.9,https://www.bustle.com/p/how-to-get-a-job-in-science-according-to-real-scientists-53410
Community and Social Service,1.6,https://thebestschools.org/careers/career-guide/social-services-careers/
Legal,0.8,https://www.nesl.edu/blog/detail/how-to-get-a-job-at-a-law-firm-with-no-experience
"Education, training and library",6.1,https://www.livecareer.com/resources/jobs/search/education
"Arts, design, entertainment, sports and media",1.7,"https://profile.center/EN/MajorOccupation/Arts,_Design,_Entertainment,_Sports,_and_Media_Occupations/8"
Healthcare practioners and technical,5.5,https://study.com/articles/How_to_Become_a_Healthcare_Practitioner_Career_Guide.html
Healthcare support,2.8,https://www.thebalancecareers.com/health-care-support-careers-525634
Protective service,2.3,https://collegegrad.com/careers/protective-service
Food preparation and serving,8.3,https://www.indeed.com/career-advice/finding-a-job/food-preparers
Building and grounds cleaning and maintenance,3.7,https://collegegrad.com/careers/building-and-grounds-cleaning
Personal care and service,4,https://thebestschools.org/careers/career-guide/personal-care-careers/
Sales,10.2,https://www.saleshacker.com/how-to-get-sales-job/
Office and administrative support,15.1,https://www.localwise.com/a/1079-how-to-become-an-administrative-assistant-with-no-experience
"Farming, fishing and forestry",0.6,https://collegegrad.com/careers/farming-fishing-and-forestry
Construction and extraction,4.3,https://collegegrad.com/careers/construction-and-extraction
"Installation, maintenance and repair",3.8,https://www.mynextmove.org/profile/summary/49-9098.00
Production,6.1,https://clumcreative.com/video-production-job/
Transportation and material moving,6.5,https://datausa.io/profile/soc/production-transportation-material-moving-occupations
Total,99.8,
